Indoor_Temperature,Outdoor_Temperature,Humidity,Occupancy,Weather_Condition,Time_of_Day,Sunlight_Intensity,Room_Size,Window_State,Ideal_Temperature
24.37,23.08,56.5,6,Cloudy,Night,3.5,39.8,Open,23.01
34.16,21.65,29.23,1,Humid,Night,3,20.3,Closed,23.01
30.44,16.17,37.33,6,Cloudy,Evening,6.4,26.8,Open,24.01
28.18,31.25,53.16,4,Stormy,Evening,8.2,23.7,Closed,20.01
20.65,26.68,44.1,4,Cloudy,Morning,1.1,22.1,Open,25.01
20.65,40.3,56.93,5,Rainy,Night,1.5,39.2,Closed,22.49
18.99,11.12,68.06,9,Cloudy,Afternoon,4,14,Closed,21
32.72,32.54,25.83,1,Rainy,Night,4.7,16.6,Open,23.49
28.22,36.7,55.48,3,Stormy,Evening,4.3,26.5,Closed,21.01
30.04,36.58,31.52,4,Windy,Afternoon,6.6,22.1,Closed,23.01
18.35,41.01,40.72,2,Rainy,Afternoon,1.3,46.1,Open,24.49
34.49,35.52,21.64,9,Cloudy,Evening,5.2,18,Open,24.01
32.15,42.47,26.8,7,,Night,8.2,20,Open,23.01
21.61,21.64,35.99,1,Cloudy,Afternoon,9.3,17.1,Closed,22
21.09,27.61,37.1,9,Stormy,Afternoon,5.8,44.3,Closed,22
21.12,10.49,64.98,6,Humid,Night,1.8,18.1,Closed,21.99
23.17,10.24,57.09,2,Cloudy,Evening,7.4,24.1,Closed,21
26.92,18.4,68.61,1,Cloudy,Night,8.1,36.8,Open,21.01
25.34,13.53,49.95,6,Rainy,Night,2.4,13.1,Closed,22.49
22.95,19.11,32.09,7,Windy,Morning,6.9,42.7,Open,24.01
28.4,16.2,36.38,6,Cloudy,Afternoon,9.3,38.3,Open,22.99
20.37,11,35.99,7,Stormy,Evening,7.3,20.4,Open,22
22.97,41.83,36.32,6,Humid,Evening,4.4,25.7,Open,24.01
24.23,10.29,53.65,8,Humid,Afternoon,4.7,34.8,Open,23.01
25.75,35.76,46.54,2,Humid,Afternoon,1.3,47.9,Open,24.99
31.35,15.33,39.27,9,Stormy,Afternoon,5.5,35.2,Closed,22.01
21.39,41.93,27.45,9,Humid,Evening,8.1,20.1,Closed,22
26.74,41.25,21.11,9,Humid,Night,9.8,29.3,Open,23
28.07,32.89,30.94,7,Rainy,Night,4.3,28,Closed,22.5
18.79,33.53,25.37,9,Humid,Evening,4.6,31.3,Open,23.99
28.33,10.19,59.27,1,Rainy,Night,1,30.8,Closed,22.5
20.9,44.47,25.62,3,Rainy,Morning,7.9,24.6,Open,22.51
19.11,40.72,56.21,2,Rainy,Morning,7.3,44.9,Open,21.5
34.13,41.33,39.28,1,Stormy,Evening,4.3,23.2,Closed,21.99
34.42,33.07,23.67,5,Cloudy,Night,7.2,31.2,Closed,22.01
31.74,22.07,60.64,1,Windy,Morning,6.4,20.4,Open,21.99
23.18,41.28,48.98,3,Humid,Night,7.8,27.4,Closed,
19.66,20.2,31.79,6,Windy,Afternoon,3.5,37.3,Open,24.01
29.63,29.69,64.73,6,Cloudy,Night,6.7,40.3,Closed,21.01
25.48,13.49,22.26,3,Rainy,Morning,6.4,42.2,Open,23.49
20.07,42.27,30.09,4,Rainy,Morning,1.4,39.5,Closed,23.5
26.42,14.93,57.6,7,Rainy,Evening,3.2,28.7,Open,22.5
